# Source addresses observed sending one of six forged AI crawler user agents on a single HTTP client fingerprint, 28 July to 23 August 2026. The six names belong to Anthropic, OpenAI, Google and Perplexity. This is a complete enumeration of that population, 824 addresses, not a top-N sample or a volume ranking. Not one of them falls inside any address range those four companies publish for their crawlers. Classification as measured 2026-08-27: 806 malicious, 18 unknown, 0 benign; rows that carry no GreyNoise classification are not asserted as indicators. Two classes of row must not be treated as ordinary origins and the tool_fingerprint_observed column marks both: cloud-tenant-address-verify-before-denying marks hyperscaler tenant space, which is reassigned within days, so re-verify against current activity before denying; shared-egress-do-not-block marks an exit shared with unrelated users, and denying it denies them too. The fingerprint column names a software build seen on that address, never an actor and never a coordinated group. GreyNoise observes requests arriving and never outcomes: nothing here says a file was returned or that any organization was affected. TLP:CLEAR.
ip,sessions,tool_fingerprint_observed
136.108.61.212,156,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.181.205.94,156,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.81.212.98,156,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.4.176,155,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.141.159.113,155,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.181.38,155,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.181.242.252,155,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.109.153.222,154,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.195.77.165,154,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.254.82.55,154,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.9.170.150,153,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.114.103.85,152,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.104.180.47,152,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.11.91.94,152,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.90.66.174,152,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.105.3.117,151,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.187.121.134,151,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.62.109.169,151,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.178.217.75,150,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.26.100.211,150,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.77.238.148,149,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.253.204.132,149,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.107.222.130,148,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.65.134.40,148,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.204.26.98,148,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.107.187.112,147,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.90.251.164,147,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.252.118.165,146,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.178.68.10,145,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.86.131.16,145,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.3.154,144,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.113.87,144,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.50.175.247,144,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.66.239.155,143,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.23.120.26,143,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.245.210.11,143,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.247.125,142,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.81.78.195,142,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.91.77.187,142,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.62.244.82,141,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
130.211.53.206,140,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.80.58.192,140,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
104.196.184.131,138,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
104.197.54.4,138,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.146.108.203,138,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.24.79.149,138,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.46.136.247,138,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.80.36.14,138,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.141.230.154,137,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.234.156.235,137,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.108.16.89,135,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.86.32.64,135,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.185.9.64,135,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.201.241.10,135,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.252.178.30,135,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.24.147.246,134,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.122.245,133,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.19.53,133,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.150.141.53,133,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.91.46.2,133,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.55.50.241,132,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.56.151.211,132,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.234.58.41,132,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.241.168.222,132,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.217.251,131,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.143.245.57,130,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.158.11.18,130,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.79.95.217,130,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.205.157.164,130,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.70.76.92,129,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.189.199.177,129,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.142.229.127,128,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.234.10.149,127,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.33.171,126,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.13.185.89,126,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.76.82.31,126,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.77.111.66,126,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
107.167.181.162,125,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.118.216.182,125,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.52.226.40,125,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.80.6.2,125,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.204.243.78,124,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.228.31.74,123,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.104.192.164,122,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.13.58,122,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.23.49.63,122,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.148.134.14,121,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.186.10.208,121,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.188.232.41,121,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.187.104.200,120,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.205.221.1,120,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.118.115.40,119,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.143.136.110,119,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.240.224.236,119,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.84.177.165,118,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.229.101.47,118,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.177.87,117,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.53.249.178,117,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.86.122.105,117,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
104.199.196.79,116,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.48.195,116,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.186.18.5,116,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.22.113.206,116,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.12.77.208,115,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.201.174.114,107,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.170.59.236,105,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.26.68.43,105,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.219.48,104,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.182.191.65,104,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.110.76.173,102,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.7.15.221,102,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.126.119.157,100,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.186.121.50,97,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.52.228.23,95,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.47.126,92,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.186.8.64,90,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.146.102.11,89,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.50.170.156,87,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.73.110.104,87,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.183.199,86,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.185.24.195,85,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.78.15.197,84,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.229.236.153,83,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.139.192.157,82,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.61.2,80,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.196.250.241,79,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.29.95.173,77,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.75.42.239,76,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.26.106.24,73,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.21.144.169,71,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.142.175.129,70,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.134.29.82,69,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.181.132,69,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.236.130.25,69,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.168.38.113,67,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.22.244.154,67,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.66.92.164,66,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.80.15.146,60,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
104.196.245.163,59,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.13.221.93,58,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.23.17.36,57,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.38.225.249,52,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.234.25.167,52,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.182.217.234,50,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.229.166.194,48,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.110.108.43,38,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.145.146.192,37,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.221.218.105,37,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.53.172.230,36,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.104.129.134,35,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.183.59,35,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.84.195.167,35,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.66.183.204,34,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.71.26,34,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.158.167.41,34,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.209.7,33,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.78.211.26,33,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
104.199.209.108,32,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.110.139,32,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.42.104,32,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.104.205.69,32,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.86.235.238,30,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.81.220.187,26,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.7.200.99,24,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.230.7.217,24,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.234.60.52,24,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.145.254.163,14,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.196.60.84,8,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
185.147.157.18,6,ai-crawler-impostor
185.147.157.235,4,ai-crawler-impostor
34.24.215.179,4,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
207.241.173.227,3,ai-crawler-impostor
208.84.101.202,3,ai-crawler-impostor
142.248.80.38,2,ai-crawler-impostor
185.147.157.214,2,ai-crawler-impostor
185.147.157.86,2,ai-crawler-impostor
193.160.32.97,2,ai-crawler-impostor
23.137.105.241,2,ai-crawler-impostor
65.110.40.23,2,ai-crawler-impostor
65.110.40.43,2,ai-crawler-impostor
104.28.249.140,1,ai-crawler-impostor;shared-egress-do-not-block=vpn
170.205.28.136,1,ai-crawler-impostor
