# Source addresses observed sending one of six forged AI crawler user agents on a single HTTP client fingerprint, 28 July to 23 August 2026. The six names belong to Anthropic, OpenAI, Google and Perplexity. This is a complete enumeration of that population, 824 addresses, not a top-N sample or a volume ranking. Not one of them falls inside any address range those four companies publish for their crawlers. Classification as measured 2026-08-27: 806 malicious, 18 unknown, 0 benign; rows that carry no GreyNoise classification are not asserted as indicators. Two classes of row must not be treated as ordinary origins and the tool_fingerprint_observed column marks both: cloud-tenant-address-verify-before-denying marks hyperscaler tenant space, which is reassigned within days, so re-verify against current activity before denying; shared-egress-do-not-block marks an exit shared with unrelated users, and denying it denies them too. The fingerprint column names a software build seen on that address, never an actor and never a coordinated group. GreyNoise observes requests arriving and never outcomes: nothing here says a file was returned or that any organization was affected. TLP:CLEAR.
ip,sessions,tool_fingerprint_observed
34.90.68.211,3058,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.90.143,2996,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.11.89.24,2983,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.66.149.90,2961,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.187.243.116,2957,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.126.181.2,2946,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.50.19,2941,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.22.225.113,2859,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.146.19.91,2836,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
207.175.165.22,2829,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.205.109.181,2787,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.70.99.185,2768,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.252.74.57,2687,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.186.121.172,2679,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.20.219,2667,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.138.170.152,2664,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.109.11.44,2652,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.247.120.95,2616,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.8.251,2599,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.202.106,2587,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.240.109.56,2577,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.7.188.89,2573,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.148.224.3,2565,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.50.176.160,2520,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.38.153.155,2517,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.107.215.208,2510,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.87.9.48,2510,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.14.123.145,2508,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.143.204.142,2497,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.178.28.64,2431,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.21.125.112,2404,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.65.181.23,2398,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.34.12.109,2381,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
104.154.130.118,2375,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.110.6.191,2365,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.219.56,2337,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.231.41.225,2326,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.11.85.176,2312,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.221.138.176,2311,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
207.175.174.249,2301,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.186.122.151,2295,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.13.141.71,2281,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.26.195.80,2279,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.11.250.248,2274,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.241.152.44,2264,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.90.231.51,2255,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.77.99.158,2249,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.74.98.8,2244,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.10.27.238,2242,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.62.169.175,2241,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.48.41.82,2237,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.124.153.171,2222,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.180.68.85,2211,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.205.50.183,2191,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.223.77,2187,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.156.198.179,2184,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.87.29.37,2146,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.178.216.181,2120,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.53.132.161,2115,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.14.15.105,2107,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.236.238.3,2106,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.72.34.156,2102,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.81.109.45,2083,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.65.221.0,2078,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.168.251.237,2071,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.56.220.217,2069,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.143.216.155,2068,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.53.234.52,2055,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.86.95.193,2043,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.237.221,2031,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.12.167.78,2015,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
207.175.65.66,2005,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.28.118,1984,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.148.110,1970,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.205.170.104,1968,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.24.144.187,1956,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.163.81,1939,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.67.131.123,1932,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.67.125.57,1928,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.73.184.211,1923,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.176.168,1906,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.21.182.5,1888,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.66.0.6,1884,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.109.135.10,1880,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.185.172.150,1870,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.140.110.179,1866,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.62.64.48,1863,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.180.78.224,1857,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.240.59.95,1849,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.126.80.180,1824,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.229.231.9,1819,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.75.204.10,1818,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.152.250,1810,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.97.99,1808,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.209.116,1794,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.67.119.141,1791,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.148.145.221,1776,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
104.199.67.245,1763,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.182.179.128,1760,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.140.177.86,1759,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.140.123.172,1758,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.205.83.81,1754,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.124.225.92,1749,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.186.82.90,1745,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
207.175.131.248,1744,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.148.56.10,1744,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.168.74,1739,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.229.227.253,1738,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.32.225.205,1737,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
