plugin,days_observed,pct_days_coverage,total_records,unique_ips
ultimate-member,45,48.9,192,58
woocommerce-abandoned-cart,45,48.9,204,57
wp-central,45,48.9,67,54
wp-video-lightbox,45,48.9,68,51
wpschoolpress,45,48.9,67,52
download-monitor,44,47.8,125,53
essential-blocks,44,47.8,181,55
mstore-api,44,47.8,160,50
activehelper-livehelp,43,46.7,105,46
all-in-one-event-calendar,43,46.7,126,54
church-admin,43,46.7,105,47
featurific-for-wordpress,43,46.7,128,51
ajax-random-post,42,45.7,104,42
wp-integrator,42,45.7,120,55
canto,41,44.6,114,53
gift-voucher,41,44.6,157,48
giveasap,41,44.6,101,40
parsi-font,41,44.6,103,43
photoxhibit,41,44.6,101,44
sourceafrica,41,44.6,105,47
crm-perks-forms,40,43.5,113,41
form-maker,40,43.5,140,46
hdw-tube,40,43.5,113,49
mf-gig-calendar,40,43.5,121,52
navis-documentcloud,40,43.5,102,42
wp-meta-seo,40,43.5,110,47
daggerhart-openid-connect-generic,39,42.4,98,41
fluentform,39,42.4,177,54
hero-maps-pro,39,42.4,103,46
hypercomments,39,42.4,158,48
movies,39,42.4,103,49
new-year-firework,39,42.4,98,40
site-offline,39,42.4,98,38
the-plus-addons-for-elementor-page-builder,39,42.4,139,42
tidio-form,39,42.4,98,42
wp-symposium,39,42.4,99,42
amty-thumb-recent-post,38,41.3,99,42
enhanced-tooltipglossary,38,41.3,98,40
forget-about-shortcode-buttons,38,41.3,97,41
stacks-mobile-app-builder,38,41.3,151,46
stop-spammer-registrations-plugin,38,41.3,99,43
trafficanalyzer,38,41.3,115,51
wp-mailster,38,41.3,100,44
wp-simple-firewall,38,41.3,50,42
admin-font-editor,37,40.2,96,41
defa-online-image-protector,37,40.2,95,40
jsmol2wp,37,40.2,98,42
page-layout-builder,37,40.2,95,37
raygun4wp,37,40.2,97,41
social-warfare,37,40.2,98,45
tidio-gallery,37,40.2,95,41
ultimate-weather-plugin,37,40.2,102,49
wpsolr-search-engine,37,40.2,95,40
anti-plagiarism,36,39.1,97,41
feed-them-social,36,39.1,95,37
simpel-reserveren,36,39.1,95,38
event-espresso-core-reg,35,38,96,43
insert-php,35,38,150,34
nd-booking,35,38,92,42
simple-membership,35,38,92,35
ultimate-faqs,35,38,94,40
whizz,35,38,92,39
drag-and-drop-multiple-file-upload-contact-form-7,34,37,147,40
drag-and-drop-multiple-file-upload-for-woocommerce,34,37,101,54
embed-swagger,34,37,96,39
s3-video,34,37,96,40
aviary-image-editor-add-on-for-gravity-forms,33,35.9,88,46
dm-albums,33,35.9,109,51
smart-manager-for-wp-e-commerce,33,35.9,68,35
wp-mobile-detector,33,35.9,89,46
yuzo-related-post,33,35.9,102,44
download-manager,32,34.8,99,44
nextgen-gallery,31,33.7,90,30
siteguard,31,33.7,111,34
uix-shortcodes,31,33.7,134,35
jh-404-logger,29,31.5,72,32
woocommerce-payments,29,31.5,80,29
checklist,28,30.4,80,32
wpcf7-redirect,28,30.4,60,30
popup-maker,27,29.3,57,28
royal-elementor-addons,27,29.3,60,22
forminator,26,28.3,42,28
the-events-calendar,26,28.3,57,27
custom-tables,25,27.2,47,22
fluent-smtp,25,27.2,41,27
knews,25,27.2,46,22
slideshow-jquery-image-gallery,25,27.2,49,22
under-construction-maintenance-mode,25,27.2,48,22
wp-seopress,25,27.2,48,21
give,24,26.1,41,21
