plugin,days_observed,unique_ips,total_records,category
wordpress-ecommerce,1,1,1,Opportunistic
wp-3dflick-slideshow,1,1,1,Opportunistic
wp-advanced-search,1,1,1,Opportunistic
wp-all-import,1,1,1,Opportunistic
wp-business-intelligence-lite,1,1,1,Opportunistic
wp-businessdirectory,1,1,1,Opportunistic
wp-cleanfix,1,1,1,Opportunistic
wp-clone-by-wp-academy,1,1,1,Opportunistic
wp-curriculo-vitae,1,1,1,Opportunistic
wp-directorybox-manager,1,1,1,Opportunistic
wp-dropbox-dropins,1,1,1,Opportunistic
wp-dummy-content-generator,1,1,1,Opportunistic
wp-e-commerce-exporter,1,1,1,Opportunistic
wp-easy-contact,1,1,1,Opportunistic
wp-easy-events,1,1,1,Opportunistic
wp-easycart,1,1,1,Opportunistic
wp-editor,1,1,1,Opportunistic
wp-file-uploader,1,1,1,Opportunistic
wp-filebase,1,1,1,Opportunistic
wp-filemanager,1,1,1,Opportunistic
wp-foodbakery,1,1,1,Opportunistic
wp-front-end-profile,1,1,1,Opportunistic
wp-front-end-repository,1,1,1,Opportunistic
wp-funnel-manager,1,1,1,Opportunistic
wp-graphql,1,1,1,Opportunistic
wp-homepage-slideshow,1,1,1,Opportunistic
wp-hotel-booking,1,1,1,Opportunistic
wp-image-news-slider,1,1,1,Opportunistic
wp-insert,1,1,1,Opportunistic
wp-job-board-pro,1,1,1,Opportunistic
wp-job-manager,1,1,1,Opportunistic
wp-jobhunt,1,1,1,Opportunistic
wp-jobsearch,1,1,1,Opportunistic
wp-levoslideshow,1,1,1,Opportunistic
wp-live-chat-support,1,1,1,Opportunistic
wp-live-chat-support-pro,1,1,1,Opportunistic
wp-membership,1,1,1,Opportunistic
wp-meta-data-filter-and-taxonomy-filter,1,1,1,Opportunistic
wp-migrate-db-pro,1,1,1,Opportunistic
wp-optimize-by-xtraffic,1,1,1,Opportunistic
wp-performance-optimizer,1,2,2,Opportunistic
wp-pinterest-automatic,1,1,1,Opportunistic
wp-post-frontend,1,1,1,Opportunistic
wp-powerplaygallery,1,1,1,Opportunistic
wp-propagator,1,1,1,Opportunistic
wp-property,1,1,1,Opportunistic
wp-query-console,1,1,1,Opportunistic
wp-realestate-manager,1,1,1,Opportunistic
wp-responsive-thumbnail-slider,1,1,1,Opportunistic
wp-shop-original,1,1,1,Opportunistic
wp-shopping-cart,1,1,1,Opportunistic
wp-smart-import,1,1,1,Opportunistic
wp-social,1,1,1,Opportunistic
wp-support-plus-responsive-ticket-system,1,1,1,Opportunistic
wp-syntax,1,1,1,Opportunistic
wp-ulike-pro,1,1,1,Opportunistic
wp-ultimate-csv-importer,1,1,1,Opportunistic
wp-ultimate-email-marketer,1,1,1,Opportunistic
wp-ultimate-exporter,1,1,1,Opportunistic
wp-user-extra-fields,1,1,1,Opportunistic
wp-users-masquerade,1,1,1,Opportunistic
wp-wc-affiliate-program,1,1,1,Opportunistic
wp-webhooks,1,1,1,Opportunistic
wp_rokbox,1,1,1,Opportunistic
wp_rokintroscroller,1,1,1,Opportunistic
wp_roknewspager,1,1,1,Opportunistic
wp_rokstories,1,1,1,Opportunistic
wpbookit,1,1,1,Opportunistic
wpbot-pro,1,1,1,Opportunistic
wpc-shop-as-customer,1,1,1,Opportunistic
wpcasa,1,1,1,Opportunistic
wpdatatables,1,1,1,Opportunistic
wpdiscuz,1,1,1,Opportunistic
wpe-indoshipping,1,1,1,Opportunistic
wpfunnels,1,1,1,Opportunistic
wpgateway,1,1,1,Opportunistic
wpgform,1,1,1,Opportunistic
wpguppy-lite,1,1,1,Opportunistic
wpmarketplace,1,1,1,Opportunistic
wpo365-login,1,1,1,Opportunistic
wpshop,1,1,1,Opportunistic
wptouch,1,1,1,Opportunistic
yayextra,1,1,1,Opportunistic
yith-woocommerce-ajax-search,1,1,2,Opportunistic
zendesk-help-center,1,1,1,Opportunistic
