plugin,days_observed,unique_ips,total_records,category
mstore-api,44,50,160,Strategic Targets
activehelper-livehelp,43,46,105,Strategic Targets
all-in-one-event-calendar,43,54,126,Strategic Targets
church-admin,43,47,105,Strategic Targets
featurific-for-wordpress,43,51,128,Strategic Targets
ajax-random-post,42,42,104,Strategic Targets
wp-integrator,42,55,120,Strategic Targets
canto,41,53,114,Strategic Targets
gift-voucher,41,48,157,Strategic Targets
giveasap,41,40,101,Strategic Targets
parsi-font,41,43,103,Strategic Targets
photoxhibit,41,44,101,Strategic Targets
sourceafrica,41,47,105,Strategic Targets
crm-perks-forms,40,41,113,Strategic Targets
form-maker,40,46,140,Strategic Targets
hdw-tube,40,49,113,Strategic Targets
mf-gig-calendar,40,52,121,Strategic Targets
navis-documentcloud,40,42,102,Strategic Targets
wp-meta-seo,40,47,110,Strategic Targets
daggerhart-openid-connect-generic,39,41,98,Strategic Targets
fluentform,39,54,177,Strategic Targets
hero-maps-pro,39,46,103,Strategic Targets
hypercomments,39,48,158,Strategic Targets
movies,39,49,103,Strategic Targets
new-year-firework,39,40,98,Strategic Targets
site-offline,39,38,98,Strategic Targets
the-plus-addons-for-elementor-page-builder,39,42,139,Strategic Targets
tidio-form,39,42,98,Strategic Targets
wp-symposium,39,42,99,Strategic Targets
amty-thumb-recent-post,38,42,99,Strategic Targets
enhanced-tooltipglossary,38,40,98,Strategic Targets
forget-about-shortcode-buttons,38,41,97,Strategic Targets
stacks-mobile-app-builder,38,46,151,Strategic Targets
stop-spammer-registrations-plugin,38,43,99,Strategic Targets
trafficanalyzer,38,51,115,Strategic Targets
wp-mailster,38,44,100,Strategic Targets
wp-simple-firewall,38,42,50,Strategic Targets
admin-font-editor,37,41,96,Strategic Targets
defa-online-image-protector,37,40,95,Strategic Targets
jsmol2wp,37,42,98,Strategic Targets
page-layout-builder,37,37,95,Strategic Targets
raygun4wp,37,41,97,Strategic Targets
social-warfare,37,45,98,Strategic Targets
tidio-gallery,37,41,95,Strategic Targets
ultimate-weather-plugin,37,49,102,Strategic Targets
wpsolr-search-engine,37,40,95,Strategic Targets
anti-plagiarism,36,41,97,Strategic Targets
feed-them-social,36,37,95,Strategic Targets
simpel-reserveren,36,38,95,Strategic Targets
event-espresso-core-reg,35,43,96,Strategic Targets
insert-php,35,34,150,Strategic Targets
nd-booking,35,42,92,Strategic Targets
simple-membership,35,35,92,Strategic Targets
ultimate-faqs,35,40,94,Strategic Targets
whizz,35,39,92,Strategic Targets
