plugin,unique_ips,days_observed,total_records,ips_per_day
fluent-smtp,27,25,41,1.08
the-events-calendar,27,26,57,1.04
user-meta,27,23,73,1.17
event-monster,26,22,72,1.18
protect-wp-admin,24,21,67,1.14
cookie-law-info,22,22,34,1
custom-tables,22,25,47,0.88
knews,22,25,46,0.88
royal-elementor-addons,22,27,60,0.81
slideshow-jquery-image-gallery,22,25,49,0.88
under-construction-maintenance-mode,22,25,48,0.88
ai-engine,21,16,50,1.31
give,21,24,41,0.88
securimage-wp,21,24,46,0.88
wp-seopress,21,25,48,0.84
backwpup,19,20,30,0.95
cekidot,19,7,28,2.71
ninja-forms,19,23,46,0.83
really-simple-captcha,19,24,48,0.79
stops-core-theme-and-plugin-updates,19,23,46,0.83
user-role-editor,19,23,46,0.83
wp-event-solution,19,15,25,1.27
wp-mail-logging,19,23,45,0.83
wp-reviews-plugin-for-google,19,23,46,0.83
wpvivid-backuprestore,19,23,44,0.83
ga-google-analytics,18,21,29,0.86
mainwp-child,18,22,45,0.82
metform,18,22,46,0.82
official-facebook-pixel,18,22,45,0.82
pdf-embedder,18,22,46,0.82
pinterest-for-woocommerce,18,22,45,0.82
pixelyoursite,18,22,45,0.82
regenerate-thumbnails,18,23,47,0.78
sg-cachepress,18,22,46,0.82
sticky-header-effects-for-elementor,18,22,45,0.82
sucuri-scanner,18,22,46,0.82
templately,18,22,45,0.82
tinymce-advanced,18,22,45,0.82
under-construction-page,18,22,45,0.82
userfeedback-lite,18,22,45,0.82
webp-converter-for-media,18,22,45,0.82
woo-checkout-field-editor-pro,18,22,44,0.82
worker,18,22,45,0.82
wp-crontrol,18,22,45,0.82
wp-google-maps,18,22,47,0.82
wp-maintenance-mode,18,22,45,0.82
wp-multibyte-patch,18,22,45,0.82
wp-pagenavi,18,22,45,0.82
wp-reset,18,22,45,0.82
wp-rollback,18,22,45,0.82
cloudflare,17,20,28,0.85
coblocks,17,20,28,0.85
easy-wp-smtp,17,21,43,0.81
font-awesome,17,20,28,0.85
jetpack-boost,17,21,45,0.81
kadence-blocks,17,21,45,0.81
mailpoet,17,21,45,0.81
maintenance,17,21,44,0.81
malcare-security,17,21,45,0.81
megamenu,17,21,45,0.81
members,17,21,45,0.81
meta-box,17,21,45,0.81
ml-slider,17,21,45,0.81
newsletter,17,21,45,0.81
nextend-facebook-connect,17,21,45,0.81
one-click-demo-import,17,21,45,0.81
otter-blocks,17,21,44,0.81
password-protected,17,22,45,0.77
safe-svg,17,21,45,0.81
so-widgets-bundle,17,21,44,0.81
taxonomy-terms-order,17,21,44,0.81
translatepress-multilingual,17,21,44,0.81
webp-express,17,21,44,0.81
woo-cart-abandonment-recovery,17,21,44,0.81
woo-variation-swatches,17,21,44,0.81
wordpress-importer,17,21,44,0.81
